307,Велосипедная парковка № 33008 «Центр образования № 118»,37.529408,55.687113,Юго-Западный административный округ
151,Велосипедная парковка № 33010 «Школа № 517»,37.595118,55.66793,Юго-Западный административный округ
315,Велосипедная парковка № 33013 «Школа № 568»,37.595966,55.675642,Юго-Западный административный округ
149,Велосипедная парковка № 33015 «Школа № 626»,37.5897,55.671923,Юго-Западный административный округ
326,Велосипедная парковка № 33017 «Школа № 789»,37.517743,55.606054,Юго-Западный административный округ
136,Велосипедная парковка № 33018 «Школа № 863»,37.534654,55.634585,Юго-Западный административный округ
142,Велосипедная парковка № 33019 «Школа № 1020»,37.517637,55.599415,Юго-Западный административный округ
143,Велосипедная парковка № 33020 «Школа № 1086»,37.528042,55.635075,Юго-Западный административный округ
309,Велосипедная парковка № 33021 «Школа № 1100»,37.53247,55.662904,Юго-Западный административный округ
214,Велосипедная парковка № 34100 «Школа № 949»,37.753564,55.609304,Южный административный округ
219,Велосипедная парковка № 34033 «Центр образования № 556»,37.582744,55.617793,Южный административный округ
345,Велосипедная парковка № 34034 «Школа № 566»,37.604222,55.693305,Южный административный округ
220,Велосипедная парковка № 34035 «Школа № 567»,37.612473,55.645841,Южный административный округ
355,Велосипедная парковка № 34036 «Школа № 573»,37.611924,55.71056,Южный административный округ
228,Велосипедная парковка № 34037 «Школа № 575»,37.713189,55.601047,Южный административный округ
337,Велосипедная парковка № 34079 «Школа № 915»,37.665859,55.58483,Южный административный округ
250,Велосипедная парковка № 34080 «Школа № 916»,37.713033,55.611665,Южный административный округ
344,Велосипедная парковка № 34081 «Школа № 924»,37.605469,55.591409,Южный административный округ
354,Велосипедная парковка № 34085 «Школа № 933»,37.652071,55.582087,Южный административный округ
353,Велосипедная парковка № 34086 «Школа № 933»,37.6496,55.583298,Южный административный округ
271,Велосипедная парковка № 34087 «Школа № 935»,37.68836,55.581578,Южный административный округ
248,Велосипедная парковка № 34088 «Центр образования № 936»,37.755467,55.62083,Южный административный округ
174,Велосипедная парковка № 32009 «Центр образования № 1329»,37.464756,55.66912,Западный административный округ
183,Велосипедная парковка № 32011 «Центр образования № 1471»,37.413927,55.770699,Западный административный округ
158,Велосипедная парковка № 32015 «Гимназия № 1593»,37.414947,55.764807,Западный административный округ
267,Велосипедная парковка № 34089 «Школа № 937»,37.701211,55.619607,Южный административный округ
352,Велосипедная парковка № 34091 «Школа № 937»,37.699527,55.618748,Южный административный округ
201,Велосипедная парковка № 34092 «Школа № 939»,37.725744,55.616074,Южный административный округ
277,Велосипедная парковка № 34093 «Школа № 941»,37.672739,55.584611,Южный административный округ
244,Велосипедная парковка № 34094 «Школа № 942»,37.666886,55.574839,Южный административный округ
257,Велосипедная парковка № 34095 «Центр образования № 943»,37.74639,55.617628,Южный административный округ
247,Велосипедная парковка № 34096 «Школа № 945»,37.736766,55.615197,Южный административный округ
276,Велосипедная парковка № 34097 «Школа № 947»,37.674111,55.584997,Южный административный округ
286,Велосипедная парковка № 34098 «Школа № 947»,37.677702,55.582642,Южный административный округ
274,Велосипедная парковка № 34099 «Школа № 948»,37.689124,55.583418,Южный административный округ
212,Велосипедная парковка № 34101 «Школа № 949»,37.75125,55.609139,Южный административный округ
253,Велосипедная парковка № 34103 «Школа № 978»,37.631985,55.676757,Южный административный округ
254,Велосипедная парковка № 34104 «Школа № 978»,37.643427,55.681645,Южный административный округ
222,Велосипедная парковка № 34105 «Школа № 979»,37.74602,55.602961,Южный административный округ
279,Велосипедная парковка № 34107 «Школа № 982»,37.675003,55.6408,Южный административный округ
246,Велосипедная парковка № 34109 «Школа № 985»,37.757403,55.620703,Южный административный округ
203,Велосипедная парковка № 34110 «Школа № 991»,37.749331,55.624698,Южный административный округ
259,Велосипедная парковка № 34111 «Школа № 991»,37.739679,55.619475,Южный административный округ
155,Велосипедная парковка № 33022 «Школа № 1106»,37.54013,55.592246,Юго-Западный административный округ
152,Велосипедная парковка № 33023 «Школа № 1266»,37.577989,55.704896,Юго-Западный административный округ
145,Велосипедная парковка № 33024 «Школа № 1273»,37.522296,55.629041,Юго-Западный административный округ
320,Велосипедная парковка № 33026 «Школа № 1354»,37.563357,55.548351,Юго-Западный административный округ
140,Велосипедная парковка № 33028 «Школа № 1379»,37.551232,55.674092,Юго-Западный административный округ
150,Велосипедная парковка № 33029 «Лицей № 1561»,37.543376,55.60193,Юго-Западный административный округ
316,Велосипедная парковка № 33033 «Школа № 1825»,37.56863,55.57114,Юго-Западный административный округ
256,Велосипедная парковка № 34112 «Школа № 995»,37.746045,55.628386,Южный административный округ
199,Велосипедная парковка № 34113 «Школа № 996»,37.723027,55.626622,Южный административный округ
328,Велосипедная парковка № 33034 «Центр образования № 1863»,37.550802,55.55033,Юго-Западный административный округ
305,Велосипедная парковка № 33036 «Школа № 1946»,37.514935,55.530849,Юго-Западный административный округ
313,Велосипедная парковка № 33037 «Школа № 1995»,37.497773,55.646245,Юго-Западный административный округ
308,Велосипедная парковка № 33038 «Школа № 2007»,37.532654,55.54458,Юго-Западный административный округ
322,Велосипедная парковка № 33039 «Школа № 2046»,37.578785,55.503559,Юго-Западный административный округ
319,Велосипедная парковка № 33043 «Школа № 1071»,37.571583,55.569312,Юго-Западный административный округ
206,Велосипедная парковка № 34118 «Школа № 1034»,37.757065,55.632977,Южный административный округ
358,Велосипедная парковка № 34119 «Школа № 1055»,37.680899,55.684278,Южный административный округ
229,Велосипедная парковка № 34120 «Школа № 1073»,37.627036,55.660208,Южный административный округ
225,Велосипедная парковка № 34122 «Лицей № 1158»,37.595049,55.631507,Южный административный округ
223,Велосипедная парковка № 34123 «Лицей № 1158»,37.59452,55.629563,Южный административный округ
272,Велосипедная парковка № 34124 «Школа № 1171»,37.595625,55.599061,Южный административный округ
217,Велосипедная парковка № 34125 «Школа № 1173»,37.594199,55.616679,Южный административный округ
287,Велосипедная парковка № 34020 «Школа № 547»,37.619541,55.7089,Южный административный округ
282,Велосипедная парковка № 34021 «Школа № 547»,37.63974,55.709343,Южный административный округ
270,Велосипедная парковка № 34022 «Центр образования № 548 Царицыно»,37.702322,55.623251,Южный административный округ
226,Велосипедная парковка № 34023 «Центр образования № 548 Царицыно»,37.718424,55.599144,Южный административный округ
265,Велосипедная парковка № 34027 «Школа № 549»,37.601803,55.603095,Южный административный округ
232,Велосипедная парковка № 34028 «Школа № 550»,37.593576,55.634635,Южный административный округ
209,Велосипедная парковка № 34030 «Школа № 551»,37.612095,55.653738,Южный административный округ
418,Велосипедная парковка № 37015 «Школа № 258»,37.609975,55.865559,Северо-Восточный административный округ
414,Велосипедная парковка № 37016 «Школа № 259»,37.600278,55.795117,Северо-Восточный административный округ
347,Велосипедная парковка № 34049 «Школа № 832»,37.653839,55.626169,Южный административный округ
343,Велосипедная парковка № 34051 «Школа № 850»,37.605691,55.592078,Южный административный округ
263,Велосипедная парковка № 34052 «Школа № 851»,37.607022,55.628149,Южный административный округ
227,Велосипедная парковка № 34053 «Школа № 856»,37.607966,55.636552,Южный административный округ
268,Велосипедная парковка № 34054 «Школа № 858»,37.602255,55.615577,Южный административный округ
283,Велосипедная парковка № 34055 «Школа № 859»,37.617748,55.59989,Южный административный округ
